commit	d50b26c
chebyt_n(fixed)	2
trials	10
signals	samplings	stddev	mse	correlaion_mse	loop_ave	ber	cte	ncte	time(ms)
50	1000	0	1.06069	0.00151107	131.316	0.404082	1784.75	0.728469	6526.9
50	2000	0	0.196562	0.000736585	22.688	0.075094	198.097	0.0808561	2396.6
50	4000	0	0.096924	0.000368902	10.874	0.0193005	53.1163	0.0216801	2392.9
50	8000	0	0.0884625	0.000185716	8.322	0.010958	30.541	0.0124657	3744.5
50	16000	0	0.0871696	9.36102e-05	7.16	0.00769237	21.6454	0.00883485	6381.7
50	32000	0	0.0864029	4.69383e-05	6.616	0.00544519	15.272	0.00623349	11240.9
50	64000	0	0.0861086	2.28084e-05	6.236	0.00377763	10.6558	0.00434929	31496.2
50	128000	0	0.0859461	1.15582e-05	5.978	0.00268931	7.52546	0.00307162	50582.7
100	1000	0	1.19343	0.00149206	30.845	0.439292	6738.1	0.680616	3499.8
100	2000	0	1.18727	0.000751004	50.469	0.43715	6913.45	0.698328	11143.9
100	4000	0	1.18056	0.000377263	104.824	0.435499	6989.56	0.706016	45766.1
100	8000	0	0.226635	0.000188488	27.417	0.090054	704.783	0.0711902	24023.2
100	16000	0	0.0885328	9.42155e-05	11.201	0.0109252	87.9205	0.00888086	21702.6
100	32000	0	0.0871682	4.71469e-05	8.404	0.00761528	61.5819	0.00622039	42573.5
100	64000	0	0.0864802	2.37415e-05	7.357	0.00541911	43.6451	0.0044086	71587
100	128000	0	0.0861205	1.18067e-05	6.738	0.00381239	30.716	0.00310262	152991
150	1000	0	1.24784	0.00151877	23.9367	0.451088	14141.3	0.632719	5159.4
150	2000	0	1.23181	0.000756535	29.408	0.447299	14500	0.648771	11251.3
150	4000	0	1.22942	0.00037933	48.4367	0.44588	14968.3	0.669723	35403.6
150	8000	0	1.22503	0.000188038	92.0407	0.444384	15086	0.674989	193374
150	16000	0	0.997308	9.37427e-05	227.451	0.373891	10218.8	0.457216	841604
150	32000	0	0.0878537	4.70766e-05	12.9187	0.00936127	139.582	0.00624529	124061
150	64000	0	0.0867969	2.36569e-05	8.87667	0.00661528	98.1931	0.00439343	172228
150	128000	0	0.086272	1.17926e-05	7.56067	0.00466604	69.2549	0.00309865	342264
200	1000	0	1.28169	0.00151594	18.8605	0.45895	24081.5	0.605063	6882.9
200	2000	0	1.26631	0.000755639	24.2805	0.454913	24981.5	0.627677	14811.5
200	4000	0	1.25742	0.000379381	31.9325	0.451815	25377.9	0.637637	38631.9
200	8000	0	1.25538	0.000189962	52.9865	0.450613	25880.4	0.650262	140645
200	16000	0	1.25175	9.44242e-05	105.594	0.450029	25987.8	0.652959	910276
200	32000	0	0.49241	4.73845e-05	119.92	0.200462	5478.46	0.13765	1.72283e+06
200	64000	0	0.0871574	2.37848e-05	13.344	0.00766528	175.562	0.00441111	436491
200	128000	0	0.0864646	1.18641e-05	8.785	0.00538779	123.555	0.0031044	574664
250	1000	0	1.3073	0.00152121	17.0536	0.464828	36415	0.58498	11119.2
250	2000	0	1.28803	0.000758282	21.2304	0.459207	37579.2	0.603681	20905.9
250	4000	0	1.28053	0.00037796	26.056	0.45652	38533.6	0.619014	74426.4
250	8000	0	1.27455	0.000189773	37.3856	0.455151	39086.9	0.627902	206541
250	16000	0	1.2739	9.50466e-05	70.3824	0.454868	39704.9	0.63783	892381
250	32000	0	1.26995	4.74177e-05	214.96	0.453617	39382.3	0.632647	5.60088e+06
250	64000	0	0.305327	2.36982e-05	81.6264	0.124512	3826.73	0.0614735	3.48801e+06
250	128000	0	0.0866353	1.18319e-05	12.0416	0.00602321	193.605	0.00311012	1.16903e+06
300	1000	0	1.32915	0.00151761	15.633	0.469789	51169.8	0.570455	16342
300	2000	0	1.30856	0.000758499	19.5107	0.463253	53058.8	0.591514	28542.7
300	4000	0	1.29661	0.000377889	23.49	0.46012	54211.5	0.604364	79398.8
300	8000	0	1.29153	0.000189315	30.621	0.458636	54966.1	0.612777	218576
300	16000	0	1.28923	9.47014e-05	50.9787	0.457637	55639.1	0.62028	971398
300	32000	0	1.28818	4.75182e-05	117.62	0.458004	56237.2	0.626948	3.50819e+06
300	64000	0	1.2129	2.36933e-05	428.646	0.438319	43071.8	0.480176	2.53851e+07
300	128000	0	0.124421	1.18848e-05	36.3373	0.0357895	1259.74	0.014044	4.43541e+06
350	1000	0	1.34695	0.00151576	14.634	0.473782	67936.9	0.556176	25737.7
350	2000	0	1.32374	0.000758374	17.6577	0.466985	70737.5	0.579103	41326.1
350	4000	0	1.3107	0.000380382	21.6574	0.463209	72385.4	0.592594	96332.4
350	8000	0	1.30569	0.000189345	28.1074	0.461338	73694.7	0.603313	577579
350	16000	0	1.30282	9.46583e-05	40.614	0.460765	74899.5	0.613176	1.14393e+06
350	32000	0	1.30159	4.75297e-05	82.3283	0.46007	75423.1	0.617463	3.37721e+06
