signals	samplings	stddev	ber	rber	complete	time(ms)
2	200	0	0	0.0162275	1000	0.017
3	200	0	0	0.0186717	1000	0
4	200	0	0	0.0215175	1000	0.007
5	200	0	0	0.023993	1000	0.864
6	200	0	1.5e-05	0.0263242	1000	1.008
7	200	0	0	0.0283521	1000	1.808
8	200	0	3.875e-05	0.0308138	1000	2.227
9	200	0	0.000136111	0.0331861	1000	3.095
10	200	0	0.0002915	0.0359855	1000	4.066
11	200	0	0.000497727	0.0397227	1000	5.085
12	200	0	0.00117208	0.0443654	1000	5.977
13	200	0	0.00262615	0.0511273	1000	8.102
14	200	0	0.00523857	0.0612782	1000	13.241
15	200	0	0.00928367	0.075449	1000	17.652
16	200	0	0.0191528	0.0961681	1000	16.899
17	200	0	0.0332541	0.122715	1000	22.854
18	200	0	0.0552144	0.159111	1000	30.372
19	200	0	0.0843521	0.195306	1000	38.779
20	200	0	0.121237	0.234981	1000	43.499
2	300	0	0	0.0129367	1000	0
3	300	0	0	0.0154756	1000	0.002
4	300	0	0	0.0172617	1000	0.71
5	300	0	0	0.0189733	1000	0.985
6	300	0	0	0.0210494	1000	1.787
7	300	0	0	0.0225457	1000	2.159
8	300	0	0	0.0240513	1000	2.932
9	300	0	1.51852e-05	0.0258189	1000	3.917
10	300	0	2.4e-05	0.0274383	1000	4.929
11	300	0	5.90909e-05	0.0293967	1000	6.08
12	300	0	0.000138611	0.0310589	1000	6.905
13	300	0	0.000241267	0.0332381	999	8.65866
14	300	0	0.000445952	0.0351457	1000	10.471
15	300	0	0.000911778	0.0385011	1000	12.78
16	300	0	0.00185583	0.044571	1000	14.272
17	300	0	0.0037451	0.0518771	1000	18.376
18	300	0	0.00575278	0.0622778	1000	22.543
19	300	0	0.00996509	0.0745132	1000	28.568
20	300	0	0.0181733	0.092358	1000	33.525
21	300	0	0.0311902	0.116178	1000	44.266
22	300	0	0.0499011	0.148747	1000	68.76
23	300	0	0.0793913	0.186965	1000	90.52
24	300	0	0.114354	0.224758	1000	83.451
2	400	0	0	0.01126	1000	0
3	400	0	0	0.0131592	1000	0.309
4	400	0	0	0.014635	1000	0.919
5	400	0	0	0.016441	1000	1.677
6	400	0	0	0.0180575	1000	2.142
7	400	0	0	0.0193218	1000	3.057
8	400	0	0	0.0208541	1000	3.958
9	400	0	0	0.0220281	1000	5.033
10	400	0	0	0.0231175	1000	6.038
11	400	0	1.06818e-05	0.0243839	1000	7.344
12	400	0	0	0.0255892	1000	8.25
13	400	0	8.03846e-05	0.027129	1000	10.028
14	400	0	0.000184286	0.0285575	1000	11.818
15	400	0	0.000190333	0.0296603	1000	13.975
16	400	0	0.00034625	0.0320973	1000	14.852
17	400	0	0.000666324	0.0340209	1000	18.018
18	400	0	0.00107458	0.0382724	1000	21.133
19	400	0	0.00171539	0.0426171	1000	25.123
20	400	0	0.00318825	0.0490995	1000	27.75
21	400	0	0.005485	0.059278	1000	34.026
22	400	0	0.00889352	0.0703311	1000	42.233
23	400	0	0.0154524	0.0900342	1000	54.544
24	400	0	0.025387	0.11058	1000	60.125
25	400	0	0.0403944	0.134023	1000	80.018
26	400	0	0.0664556	0.169982	1000	105.703
27	400	0	0.101874	0.211638	1000	137.808
2	500	0	0	0.010019	1000	0.005
3	500	0	0	0.011782	1000	0.874
4	500	0	0	0.013369	1000	1.096
5	500	0	0	0.0146768	1000	1.95
6	500	0	0	0.0157787	1000	2.925
7	500	0	0	0.0170051	1000	3.907
8	500	0	0	0.0184405	1000	4.594
9	500	0	0	0.0194409	1000	5.976
10	500	0	0	0.0204754	1000	7.448
11	500	0	1.07273e-05	0.0215656	1000	8.929
12	500	0	8.33333e-06	0.0226725	1000	9.661
13	500	0	0	0.0236269	1000	11.921
14	500	0	9.57143e-06	0.0245533	1000	14.111
15	500	0	3.87054e-05	0.0257166	999	16.5295
16	500	0	8.5e-05	0.0270684	1000	17.665
17	500	0	0.000161647	0.0285933	1000	20.927
18	500	0	0.000385889	0.0299941	1000	24.294
19	500	0	0.000601474	0.0323719	1000	28.106
20	500	0	0.0009651	0.0344856	1000	30.613
21	500	0	0.00136438	0.0384068	1000	35.878
22	500	0	0.00226491	0.0433335	1000	42.268
23	500	0	0.00366991	0.049414	1000	50.156
24	500	0	0.00606867	0.0615383	1000	56.17
25	500	0	0.00983464	0.072261	1000	68.95
26	500	0	0.0174062	0.0913597	1000	86.536
27	500	0	0.027523	0.111351	1000	107.998
28	500	0	0.0440822	0.13937	1000	123.468
29	500	0	0.0690988	0.169738	1000	155.139
30	500	0	0.10405	0.211359	1000	195.857
2	600	0	8.33333e-07	0.00949083	1000	0.024
3	600	0	0	0.0107333	1000	0.907
4	600	0	0	0.0122267	1000	1.457
5	600	0	0	0.0133417	1000	2.302
6	600	0	0	0.0146167	1000	3.31
7	600	0	0	0.0158162	1000	4.367
8	600	0	0	0.0168733	1000	5.204
9	600	0	0	0.0176819	1000	6.921
10	600	0	0	0.018609	1000	8.723
11	600	0	0	0.0195752	1000	10.16
12	600	0	2.77778e-06	0.0204758	1000	10.732
13	600	0	6.66667e-06	0.021386	1000	13.058
14	600	0	7.5e-06	0.0224957	1000	15.244
15	600	0	0	0.0230787	1000	17.554
16	600	0	1.82292e-05	0.0239204	1000	18.372
17	600	0	3.29412e-05	0.024937	1000	21.181
18	600	0	5.85185e-05	0.0256888	1000	24.129
19	600	0	0.000132368	0.0269336	1000	27.405
20	600	0	0.00027025	0.0291717	1000	29.156
21	600	0	0.000432302	0.0303133	1000	33.994
22	600	0	0.000891061	0.0346386	1000	39.191
23	600	0	0.00128312	0.0372672	1000	45.364
24	600	0	0.00215729	0.0407369	1000	46.609
25	600	0	0.00301133	0.0472643	1000	56.268
26	600	0	0.00476801	0.0551611	1000	65.781
27	600	0	0.00836988	0.0676964	1000	79.537
28	600	0	0.0124736	0.0807018	1000	89.075
29	600	0	0.0209222	0.0995582	1000	113.341
30	600	0	0.0324446	0.119511	1000	142.218
31	600	0	0.0538942	0.152506	1000	176.727
32	600	0	0.0785778	0.184649	1000	203.342
33	600	0	0.118007	0.22946	1000	262.526
2	700	0	9.28571e-06	0.00875571	1000	0.178
3	700	0	0	0.0100205	1000	0.985
4	700	0	0	0.0113096	1000	1.861
5	700	0	0	0.0121669	1000	2.824
6	700	0	0	0.0134243	1000	3.843
7	700	0	0	0.0145286	1000	4.972
8	700	0	0	0.0152954	1000	6.105
9	700	0	0	0.0163508	1000	7.73
10	700	0	0	0.0171773	1000	9.564
11	700	0	0	0.0179223	1000	11.316
12	700	0	0	0.0187781	1000	12.562
13	700	0	0	0.0197509	1000	15.033
14	700	0	8.36735e-06	0.0205064	1000	17.352
15	700	0	0	0.0211799	1000	19.942
16	700	0	7.94643e-06	0.0220466	1000	21.258
17	700	0	2.54622e-05	0.0230089	1000	24.808
18	700	0	3.74978e-05	0.0235807	999	27.982
19	700	0	9.44361e-05	0.0248258	1000	31.72
20	700	0	6.73571e-05	0.0250517	1000	33.611
21	700	0	0.000207959	0.0262808	1000	38.092
22	700	0	0.000229545	0.0279051	1000	42.924
23	700	0	0.000554037	0.0299468	1000	50.201
24	700	0	0.000857679	0.0331761	1000	51.269
25	700	0	0.0014364	0.0365784	1000	59.692
26	700	0	0.00188599	0.0397714	1000	67.323
27	700	0	0.0031009	0.0470456	1000	78.56
28	700	0	0.0046601	0.0536711	1000	85.138
29	700	0	0.00723059	0.0649378	1000	102.158
30	700	0	0.011695	0.0784197	1000	126.056
31	700	0	0.0163492	0.0901842	1000	148.078
32	700	0	0.0282592	0.114873	1000	170.459
33	700	0	0.0461924	0.141346	999	218.932
34	700	0	0.0700429	0.175549	1000	311.859
35	700	0	0.107109	0.217513	1000	401.046
2	800	0	0	0.008085	1000	0.406
