signals	samplings	stddev	ber	rber	complete	time(ms)
2	200	0.05	0.03498	0.10258	1000	5.693
3	200	0.05	0.0319117	0.0986883	1000	5.645
4	200	0.05	0.026065	0.0942737	1000	9.212
5	200	0.05	0.024325	0.093559	1000	14.289
6	200	0.05	0.0222367	0.0924025	1000	20.498
7	200	0.05	0.0228121	0.0946043	1000	25.538
8	200	0.05	0.0196637	0.0925831	1000	32.805
9	200	0.05	0.020475	0.09511	1000	43.564
10	200	0.05	0.0207275	0.0962765	1000	62.275
11	200	0.05	0.025045	0.10646	1000	80.038
12	200	0.05	0.0295337	0.116518	1000	109.505
13	200	0.05	0.0359446	0.126951	1000	163.713
14	200	0.05	0.0486496	0.147427	1000	208.921
15	200	0.05	0.0634963	0.167921	1000	230.661
16	200	0.05	0.0812712	0.191066	1000	316.833
17	200	0.05	0.107376	0.219955	1000	343.766
2	300	0.05	0.03156	0.0946283	1000	4.132
3	300	0.05	0.0331856	0.100634	1000	9.825
4	300	0.05	0.0264167	0.0914233	1000	13.693
5	300	0.05	0.0247973	0.0908913	1000	20.607
6	300	0.05	0.0212889	0.0878322	1000	29.037
7	300	0.05	0.01958	0.0867148	1000	39.955
8	300	0.05	0.0191162	0.0869433	1000	49.664
9	300	0.05	0.0167393	0.0857011	1000	61.988
10	300	0.05	0.0171333	0.08654	1000	81.289
11	300	0.05	0.0163667	0.0857161	1000	74.227
12	300	0.05	0.0174997	0.0900786	1000	106.006
13	300	0.05	0.0172733	0.0908826	1000	159.364
14	300	0.05	0.0192193	0.0953779	1000	196.124
15	300	0.05	0.0217918	0.101371	1000	233.321
16	300	0.05	0.0265392	0.109579	1000	284.941
17	300	0.05	0.0337451	0.12294	1000	285.18
18	300	0.05	0.0442317	0.139401	1000	357.495
19	300	0.05	0.0601886	0.161705	1000	465.266
20	300	0.05	0.0808158	0.188507	1000	569.956
21	300	0.05	0.109087	0.22033	1000	773.914
2	400	0.05	0.0352337	0.0994525	1000	4.263
3	400	0.05	0.0285975	0.0926883	1000	10.025
4	400	0.05	0.0258594	0.0904594	1000	14.794
5	400	0.05	0.0237505	0.0886125	1000	22.353
6	400	0.05	0.0218321	0.0875796	1000	29.683
7	400	0.05	0.0189839	0.0836546	1000	40.156
8	400	0.05	0.0191762	0.0841969	1000	55.766
9	400	0.05	0.0169939	0.0818169	1000	68.091
10	400	0.05	0.0155328	0.0807997	1000	83.409
11	400	0.05	0.0165289	0.0826725	1000	85.075
12	400	0.05	0.0145742	0.0811056	1000	132.428
13	400	0.05	0.0140908	0.0797565	1000	157.578
14	400	0.05	0.0142588	0.0820411	1000	164.795
15	400	0.05	0.0145122	0.0848585	1000	216.874
16	400	0.05	0.0152131	0.085998	1000	225.636
17	400	0.05	0.0161249	0.0895003	1000	264.867
18	400	0.05	0.0181494	0.0967049	1000	351.525
19	400	0.05	0.0229599	0.105227	1000	392.944
20	400	0.05	0.0299729	0.11656	1000	567.032
21	400	0.05	0.0399915	0.13381	1000	674.953
22	400	0.05	0.0516772	0.1496	1000	803.213
23	400	0.05	0.0712086	0.175447	1000	796.317
24	400	0.05	0.0976342	0.207755	1000	1180.56
25	400	0.05	0.127012	0.238739	1000	1382.93
2	500	0.05	0.033344	0.094876	1000	6.317
3	500	0.05	0.0308227	0.094268	1000	13.572
4	500	0.05	0.025564	0.0888175	1000	21.004
5	500	0.05	0.0233896	0.0872288	1000	30.58
6	500	0.05	0.019584	0.081766	1000	39.483
7	500	0.05	0.0190614	0.0829143	1000	51.777
8	500	0.05	0.01788	0.0817588	1000	62.7
9	500	0.05	0.0159351	0.0787833	1000	76.598
10	500	0.05	0.0150098	0.077738	1000	93.656
11	500	0.05	0.0141476	0.0765335	1000	108.863
12	500	0.05	0.013142	0.0759807	1000	156.766
13	500	0.05	0.0130228	0.0765146	1000	187.25
14	500	0.05	0.0121856	0.0759939	1000	220.821
15	500	0.05	0.0124433	0.0775009	1000	245.257
16	500	0.05	0.0126008	0.078191	1000	283.436
17	500	0.05	0.0117219	0.0780941	1000	316.942
18	500	0.05	0.0117703	0.0792801	1000	377.819
19	500	0.05	0.013942	0.0835571	1000	437.91
20	500	0.05	0.0151353	0.0880605	1000	503.311
21	500	0.05	0.0190242	0.0962973	1000	584.582
22	500	0.05	0.0237504	0.104853	1000	700.945
23	500	0.05	0.0302083	0.118118	1000	842.728
24	500	0.05	0.0373865	0.129348	1000	922.568
25	500	0.05	0.0536952	0.151196	1000	1175.66
26	500	0.05	0.0727086	0.176439	1000	1411.62
27	500	0.05	0.0996658	0.209011	1000	1695.17
28	500	0.05	0.131587	0.240961	1000	1905
2	600	0.05	0.0302467	0.0929108	1000	7.111
3	600	0.05	0.0335528	0.0979939	1000	17.199
4	600	0.05	0.0247579	0.0888246	1000	23.311
5	600	0.05	0.023872	0.086953	1000	34.251
6	600	0.05	0.0208342	0.0835239	1000	43.32
7	600	0.05	0.0164076	0.0779457	1000	53.808
8	600	0.05	0.0178923	0.0806815	1000	68.383
9	600	0.05	0.0170652	0.0791483	1000	86.638
10	600	0.05	0.0150943	0.076364	1000	100.148
11	600	0.05	0.0136352	0.0746229	1000	123.484
12	600	0.05	0.0133235	0.0750122	1000	182.799
13	600	0.05	0.0126701	0.0743014	1000	207.236
14	600	0.05	0.0120161	0.0746015	1000	228.289
15	600	0.05	0.0119698	0.0739936	1000	263.959
16	600	0.05	0.0108553	0.0735897	1000	301.57
17	600	0.05	0.0110093	0.0736276	1000	348.608
18	600	0.05	0.0106731	0.0743826	1000	378.82
19	600	0.05	0.0108394	0.0758175	1000	426.463
20	600	0.05	0.011009	0.0769544	1000	497.011
21	600	0.05	0.0123293	0.0797125	1000	545.32
22	600	0.05	0.0141418	0.0860754	1000	636.667
23	600	0.05	0.0153613	0.088569	1000	743.379
24	600	0.05	0.0199976	0.0989694	1000	797.586
25	600	0.05	0.0245864	0.108386	1000	993.894
26	600	0.05	0.0333052	0.12202	999	1175.89
27	600	0.05	0.0433237	0.137595	1000	1379.07
28	600	0.05	0.0590938	0.160628	1000	1613.94
29	600	0.05	0.0815642	0.18625	999	2016.16
30	600	0.05	0.109755	0.216025	1000	2319.82
2	700	0.05	0.0326136	0.0950643	1000	8.328
3	700	0.05	0.0289071	0.0926524	1000	17.048
4	700	0.05	0.0276493	0.0922986	1000	26.252
5	700	0.05	0.0213471	0.0837617	1000	35.513
6	700	0.05	0.0202038	0.0819888	1000	47.689
7	700	0.05	0.0181657	0.0807049	1000	61.683
8	700	0.05	0.0171913	0.0779282	1000	72.433
9	700	0.05	0.0148583	0.0759611	1000	90.425
10	700	0.05	0.0149147	0.0757286	1000	109.549
11	700	0.05	0.0135236	0.0740982	1000	128.833
12	700	0.05	0.0126407	0.0732625	1000	182.871
13	700	0.05	0.01285	0.0731707	1000	217.322
14	700	0.05	0.0123651	0.0736166	1000	250.25
15	700	0.05	0.0114601	0.0720837	1000	276.831
16	700	0.05	0.0107341	0.0721844	1000	315.15
17	700	0.05	0.0107333	0.0719933	1000	341.906
18	700	0.05	0.00986325	0.0710903	1000	406.448
19	700	0.05	0.00992496	0.071978	1000	452.91
20	700	0.05	0.0100053	0.0734406	1000	482.457
21	700	0.05	0.010391	0.0741185	1000	573.857
22	700	0.05	0.0108036	0.0756941	1000	626.714
23	700	0.05	0.0109328	0.0765343	1000	694.794
24	700	0.05	0.0127931	0.0825202	1000	787.547
25	700	0.05	0.0159883	0.0893777	1000	900.268
26	700	0.05	0.0180057	0.0957787	1000	1049.58
27	700	0.05	0.0227466	0.10586	1000	1226.63
28	700	0.05	0.0296799	0.116466	1000	1449.18
29	700	0.05	0.0395833	0.133049	1000	1663.29
30	700	0.05	0.0530846	0.152636	1000	1854.74
31	700	0.05	0.0751349	0.17981	999	2387.91
32	700	0.05	0.104	0.211558	1000	2877.66
2	800	0.05	0.0333175	0.0956925	1000	9.196
3	800	0.05	0.0303146	0.0944754	1000	20.179
4	800	0.05	0.0242509	0.0864394	1000	28.894
5	800	0.05	0.023733	0.0871562	1000	43.406
6	800	0.05	0.0213552	0.0841785	1000	56.931
7	800	0.05	0.0180809	0.0790591	1000	70.554
8	800	0.05	0.0173114	0.0784078	1000	88.63
9	800	0.05	0.0164253	0.0775556	1000	108.787
10	800	0.05	0.0140689	0.0740156	1000	128.754
11	800	0.05	0.0138901	0.073367	1000	151.362
12	800	0.05	0.0133794	0.0729321	1000	222.809
13	800	0.05	0.0133492	0.0736003	1000	263.857
14	800	0.05	0.0113656	0.0704174	1000	281.919
15	800	0.05	0.0101487	0.0690393	1000	321.171
16	800	0.05	0.0101712	0.0696701	1000	363.102
17	800	0.05	0.00974971	0.069369	1000	366.018
18	800	0.05	0.00906972	0.0675929	1000	429.724
19	800	0.05	0.00997586	0.0701256	1000	481.474
20	800	0.05	0.00889731	0.0686189	1000	514.897
21	800	0.05	0.00935565	0.0700807	1000	588.767
22	800	0.05	0.00868943	0.0701255	1000	638.872
23	800	0.05	0.00946212	0.0720288	1000	687.534
24	800	0.05	0.00954292	0.0730045	1000	792.907
25	800	0.05	0.0110752	0.0771678	1000	882.956
26	800	0.05	0.0110943	0.0779892	999	974.23
27	800	0.05	0.0139244	0.0851385	1000	1116.82
28	800	0.05	0.0177329	0.0932816	1000	1228.53
29	800	0.05	0.0204384	0.101201	1000	1453.53
30	800	0.05	0.0273851	0.113126	1000	1574.41
31	800	0.05	0.0362699	0.127878	1000	1683.45
32	800	0.05	0.0524233	0.153184	1000	2376.09
33	800	0.05	0.06913	0.172896	999	2814.43
34	800	0.05	0.0965254	0.204857	1000	3354.28
35	800	0.05	0.130407	0.240124	1000	4000.11
2	900	0.05	0.0328644	0.0960789	1000	11.261
3	900	0.05	0.0279281	0.0899141	1000	23.483
4	900	0.05	0.0279672	0.0912775	1000	33.73
5	900	0.05	0.0235024	0.0854311	1000	46.517
6	900	0.05	0.0206735	0.0828341	1000	66.215
7	900	0.05	0.0176168	0.0784268	1000	79.555
8	900	0.05	0.0169174	0.0767814	1000	98.475
9	900	0.05	0.0162443	0.0769435	1000	121.284
10	900	0.05	0.0145372	0.0739808	1000	143.049
11	900	0.05	0.0142279	0.0736848	1000	170.534
12	900	0.05	0.0126674	0.071663	1000	193.695
13	900	0.05	0.0122456	0.0708603	1000	287.104
14	900	0.05	0.0118764	0.0709679	1000	329.324
15	900	0.05	0.0106393	0.0689367	1000	343.426
16	900	0.05	0.0107277	0.0690431	1000	371
17	900	0.05	0.0101038	0.0682503	1000	403.811
18	900	0.05	0.00991296	0.068564	1000	436.231
19	900	0.05	0.00960754	0.0680027	1000	482.019
20	900	0.05	0.009134	0.0677329	1000	532.964
21	900	0.05	0.00852016	0.0669844	1000	621.921
22	900	0.05	0.00879338	0.0673613	1000	661.914
23	900	0.05	0.00880478	0.0686127	1000	657.353
24	900	0.05	0.00868838	0.0695568	1000	775.492
25	900	0.05	0.00887124	0.0707565	1000	800.616
26	900	0.05	0.00937004	0.0715464	1000	828.336
27	900	0.05	0.0106877	0.0768742	1000	920.594
28	900	0.05	0.0119591	0.0807848	1000	1156.67
29	900	0.05	0.0133764	0.0834802	1000	1147.3
30	900	0.05	0.0163147	0.0908148	1000	1348.55
31	900	0.05	0.0213637	0.103737	999	1540.84
32	900	0.05	0.027287	0.114164	1000	1788.2
33	900	0.05	0.037632	0.130847	999	2185.63
34	900	0.05	0.052142	0.152284	1000	2602.27
35	900	0.05	0.0682688	0.174858	1000	3080.88
36	900	0.05	0.097704	0.20388	1000	3704.43
37	900	0.05	0.128136	0.237566	1000	4330.64
2	1000	0.05	0.033058	0.0967515	1000	11.637
3	1000	0.05	0.0281447	0.0900397	1000	23.054
4	1000	0.05	0.024481	0.086699	1000	35.603
5	1000	0.05	0.0230292	0.0842062	1000	50.256
6	1000	0.05	0.020687	0.0822795	1000	68.153
7	1000	0.05	0.0176487	0.078212	1000	86.024
8	1000	0.05	0.0169554	0.0774437	1000	102.92
9	1000	0.05	0.0152633	0.0747634	1000	120.045
10	1000	0.05	0.0136739	0.0726737	1000	141.288
11	1000	0.05	0.0139558	0.0730355	1000	168.446
12	1000	0.05	0.0122016	0.0712773	1000	230.22
13	1000	0.05	0.0111674	0.0691857	1000	261.075
14	1000	0.05	0.0118207	0.0707432	999	296.921
15	1000	0.05	0.0108282	0.0688103	1000	329.926
16	1000	0.05	0.0102665	0.0683365	1000	356.523
17	1000	0.05	0.0102931	0.0683182	1000	392.69
18	1000	0.05	0.00912917	0.0665139	1000	402.489
19	1000	0.05	0.00901368	0.0665082	1000	437.143
20	1000	0.05	0.00882895	0.0669747	1000	498.611
21	1000	0.05	0.00843676	0.0665846	1000	563.73
22	1000	0.05	0.00803941	0.0662175	1000	610.266
23	1000	0.05	0.00807291	0.0663181	1000	650.411
24	1000	0.05	0.00761771	0.066073	1000	729.268
25	1000	0.05	0.00836908	0.0677195	1000	820.641
26	1000	0.05	0.00872896	0.0691162	1000	878.819
27	1000	0.05	0.00923048	0.0713857	1000	948.763
28	1000	0.05	0.00951336	0.0724271	1000	1052.29
29	1000	0.05	0.0109832	0.0780931	1000	1166
30	1000	0.05	0.0124119	0.0818292	1000	1276.3
31	1000	0.05	0.014955	0.0877647	1000	1430.66
32	1000	0.05	0.0171289	0.092997	1000	1508.28
33	1000	0.05	0.0221275	0.103405	1000	1878.08
34	1000	0.05	0.0288897	0.115877	1000	2149.91
35	1000	0.05	0.0386128	0.133307	1000	2560.31
36	1000	0.05	0.0523093	0.152118	1000	3004.12
37	1000	0.05	0.0701917	0.175283	1000	3511.69
38	1000	0.05	0.0980593	0.206152	1000	4314.93
